listing_db_id,latitude,longitude,cluster
313,38.9041,-77.0174,552
314,38.8996,-77.0157,512
315,38.9076,-77.0343,555
316,38.9052,-77.0063,489
317,38.8735,-77.0094,393
318,38.8797,-77.0141,434
319,38.9362,-77.0557,406
320,38.9047,-77.0519,478
321,38.9065,-77.0355,538
322,38.9094,-77.0406,566
323,38.9412,-77.002,368
324,38.929,-77.0543,442
325,38.8997,-76.9942,481
326,38.9437,-77.0612,432
327,38.9103,-77.0086,547
328,38.9528,-77.0162,454
329,38.8964,-77.0469,362
330,38.9165,-77.0316,577
331,38.9267,-77.0386,497
332,38.9285,-77.0336,592
333,38.9529,-77.069,410
334,38.8803,-77.0065,402
335,38.9282,-77.0737,391
336,38.878,-77.0055,412
337,38.9269,-77.0404,492
338,38.919,-77.0354,589
339,38.8996,-77.0157,512
340,38.931,-77.037,496
341,38.9052,-77.0063,489
342,38.9041,-77.0174,552
343,38.902,-76.9799,529
344,38.875,-77.0084,428
345,38.9041,-77.0174,552
346,38.912,-77.0316,530
347,38.8784,-77.0183,424
348,38.904,-77.0483,477
349,38.9065,-77.0332,536
350,38.9238,-77.0248,1048
351,38.9731,-77.0283,356
352,38.9184,-77.0231,558
353,38.9343,-77.072,380
354,38.9088,-77.0485,476
355,38.9143,-77.0382,565
356,38.908,-76.9826,1001
357,38.9069,-77.0342,544
358,38.9163,-77.0322,576
359,38.9071,-77.0454,474
360,38.905,-77.029,546
361,38.9065,-77.0332,536
362,38.9358,-77.0819,382
363,38.9041,-77.0174,552
364,38.8982,-76.9739,993
365,38.915,-77.0446,574
366,38.9337,-76.9915,440
367,38.9184,-77.0232,558
368,38.9104,-77.0222,559
369,38.9058,-77.0299,545
370,38.875,-77.0084,428
371,38.8752,-77.0063,419
372,38.8795,-77.0046,421
373,38.9069,-77.0342,544
374,38.8797,-77.0141,434
2652,38.8963,-76.9801,542
375,38.8803,-77.0065,402
376,38.897,-77.0458,363
377,38.9351,-77.0339,498
378,38.875,-77.0084,428
379,38.9184,-77.0232,558
380,38.9529,-77.0682,409
381,38.915,-77.0446,574
382,38.8756,-77.0078,427
383,38.9014,-77.0528,471
384,38.9086,-77.0343,535
385,38.9322,-77.0294,578
386,38.9267,-77.0386,497
387,38.9088,-77.0485,476
388,38.9229,-77.074,378
389,38.9285,-77.0336,592
390,38.9285,-77.0336,592
391,38.9362,-77.0557,406
392,38.8803,-77.0065,402
393,38.9175,-77.0682,375
394,38.9047,-77.0519,478
395,38.8743,-77.0008,370
396,38.9184,-77.0232,558
397,38.9065,-77.0332,536
398,38.947,-77.0646,408
399,38.8797,-77.0141,434
400,38.9175,-77.0682,375
401,38.8809,-76.9877,404
402,38.9363,-77.0739,381
403,38.9088,-77.0485,476
404,38.8752,-77.0063,419
405,38.902,-76.9799,529
406,38.9073,-76.9981,473
407,38.9052,-77.0063,489
408,38.9337,-76.9915,440
409,38.9113,-77.037,571
410,38.9165,-77.0232,550
411,38.9069,-77.0507,483
412,38.9068,-77.0113,1102
413,38.9581,-77.0024,344
414,38.9045,-77.0249,522
415,38.9172,-77.0337,575
479,38.8999,-76.9974,480
416,38.904,-77.0483,477
417,38.897,-77.0458,363
418,38.9052,-77.0063,489
419,38.9358,-77.0819,382
420,38.9358,-77.0819,382
421,38.9228,-77.0307,593
422,38.9322,-77.0294,578
423,38.9207,-77.0316,583
424,38.9124,-77.0316,530
425,38.9267,-77.0386,497
426,38.9268,-77.0538,437
427,38.9581,-77.0024,344
428,38.9216,-77.037,521
429,38.8804,-77.0062,401
430,38.902,-76.9799,529
431,38.9017,-77.035,451
432,38.9047,-77.0519,478
433,38.9073,-76.9981,473
434,38.878,-77.0055,412
435,38.9267,-77.0386,497
436,38.9215,-77.081,386
437,38.9358,-77.0819,382
438,38.9088,-77.0327,531
439,38.8775,-77.0163,439
440,38.9109,-77.0041,464
441,38.8788,-77.0211,413
442,38.9485,-77.0652,414
443,38.9008,-77.0169,514
444,38.9267,-77.0386,497
445,38.9721,-77.0338,356
446,38.9226,-77.0374,520
447,38.9109,-77.0041,464
448,38.9071,-77.0454,474
449,38.8964,-77.0469,362
450,38.9267,-77.0386,497
451,38.9041,-77.0174,552
452,38.9379,-77.0239,517
453,38.897,-77.0458,363
454,38.9075,-77.0493,482
455,38.938,-77.0604,400
456,38.902,-76.9799,529
457,38.9124,-77.0316,530
458,38.9428,-77.0611,431
459,38.9362,-77.0557,406
460,38.9075,-77.0323,540
461,38.875,-77.0084,428
462,38.8999,-76.9974,480
463,38.9528,-77.0162,454
464,38.9285,-77.0336,592
465,38.9375,-77.0336,1085
466,38.8804,-77.0062,401
467,38.9065,-77.0527,465
468,38.897,-77.0458,363
469,38.9362,-77.0557,406
470,38.8972,-77.0023,971
471,38.8803,-77.0065,402
472,38.8795,-77.0046,421
473,38.9393,-77.0373,488
474,38.9333,-77.0575,430
475,38.9086,-77.0343,535
476,38.9069,-77.0507,483
477,38.9181,-77.045,494
478,38.924,-77.0531,429
480,38.9393,-77.0373,488
481,38.9171,-77.0227,551
482,38.9361,-77.0349,502
483,38.9103,-77.0086,547
484,38.9358,-77.0819,382
485,38.8752,-77.0063,419
486,38.9109,-77.0041,464
487,38.8717,-76.9781,297
488,38.8803,-77.0065,402
489,38.8971,-77.0453,364
490,38.9215,-77.0439,519
491,38.8784,-77.0183,424
492,38.8756,-77.0078,427
