listing_db_id,latitude,longitude,price,aqi,nwi_score,nearest_bus_stop_miles,nearby_bus_stops,nearby_parks,nearest_park_miles
163,38.949942,-77.066269,2010,28,13.3,0.03,101,1,0.35
164,38.917576,-77.042732,2850,28,13.7,0.06,156,1,0.81
165,38.89071,-77.001548,4250,34,15.7,0.23,118,3,0.63
166,38.92118,-77.044633,3800,28,17.3,0.1,157,1,0.94
167,38.901527,-77.000994,1920,34,17.8,0.05,133,2,0.19
168,38.962354,-77.072564,3065,28,16.8,0.1,115,1,0.24
169,38.902289,-77.017461,2475,28,16.5,0.06,220,2,0.24
170,38.901527,-77.000994,1710,34,17.8,0.05,133,2,0.19
171,38.890335,-77.003237,4450,34,15.7,0.22,119,2,0.68
172,38.915557,-77.019869,1250,28,17.7,0.01,193,4,0.25
173,38.901527,-77.000994,2245,34,17.8,0.05,133,2,0.19
174,38.904788,-77.025725,1875,28,18.3,0.08,258,3,0.24
175,38.949942,-77.066269,2515,28,13.3,0.03,101,1,0.35
176,38.958178,-77.025649,4542,28,14.8,0.13,140,1,0.68
177,38.902289,-77.017461,2688,28,16.5,0.06,220,2,0.24
178,38.877481,-77.016322,3395,28,15.8,0.07,68,1,0.33
179,38.903416,-77.017746,2430,28,16.7,0.09,230,2,0.23
180,38.933538,-77.081833,2465,28,10.5,0.1,102,0,1.16
181,38.919848,-77.041428,2000,28,16.5,0.05,162,1,0.97
182,38.907003,-77.032375,3267,28,14.7,0.02,253,4,0.5
183,38.902289,-77.017461,2518,28,16.5,0.06,220,2,0.24
184,38.877481,-77.016322,2305,28,15.8,0.07,68,1,0.33
185,38.900443,-77.0183,3686,28,16.5,0.04,225,2,0.26
186,38.902289,-77.017461,2658,28,16.5,0.06,220,2,0.24
187,38.902289,-77.017461,2530,28,16.5,0.06,220,2,0.24
188,38.896854,-77.045959,2510,28,16.8,0.06,122,2,0.67
189,38.935844,-77.081871,2025,28,11.2,0.04,104,0,1.06
190,38.935844,-77.081871,2096,28,11.2,0.04,104,0,1.06
191,38.926666,-77.038605,1870,28,14.5,0.08,146,3,0.55
192,38.910919,-77.004097,1937,28,14.0,0.12,158,2,0.55
193,38.943722,-77.061241,2607,28,11.8,0.09,66,1,0.27
194,38.935844,-77.081871,1793,28,11.2,0.04,104,0,1.06
195,38.900784,-77.016937,2392,28,16.5,0.07,211,2,0.31
196,38.875164,-77.006271,4061,28,17.8,0.09,66,0,0.89
197,38.932728,-77.072136,2479,28,16.8,0.06,119,1,0.9
198,38.910919,-77.004097,2035,28,14.0,0.12,158,2,0.55
199,38.90517,-77.006294,2674,28,17.8,0.14,155,3,0.57
200,38.927567,-77.006165,2187,28,10.7,0.02,108,3,0.58
201,38.91724,-77.033684,4287,28,17.5,0.04,200,3,0.46
202,38.942833,-77.061111,2450,28,13.2,0.09,73,1,0.3
203,38.910355,-77.022186,1848,28,17.7,0.03,230,4,0.13
204,38.904102,-77.017403,2782,28,16.7,0.12,221,2,0.26
205,38.884689,-76.958511,1550,34,9.7,0.08,74,1,0.78
206,38.910309,-77.008553,3795,28,17.8,0.05,169,3,0.7
207,38.935863,-77.03698,2027,28,14.3,0.06,132,2,0.23
208,38.902828,-77.051842,1971,28,15.7,0.02,140,1,0.59
209,38.875622,-77.007805,3440,28,17.8,0.07,61,0,0.8
210,38.950413,-77.066544,1831,28,13.3,0.03,102,1,0.38
211,38.906921,-77.050743,3780,28,15.7,0.19,145,1,0.5
212,38.906509,-77.035507,2535,28,15.8,0.09,235,3,0.33
213,38.908566,-77.034256,4087,28,14.7,0.08,248,5,0.43
214,38.880337,-77.006493,2166,28,15.8,0.27,71,0,0.89
215,38.896996,-77.045799,2274,28,16.8,0.06,127,2,0.65
216,38.918381,-77.023216,2740,28,16.2,0.06,193,3,0.23
217,38.907059,-77.045364,2025,28,14.7,0.04,176,1,0.22
218,38.901981,-76.979874,2645,34,15.5,0.04,124,3,0.55
219,38.935844,-77.081871,2096,28,11.2,0.04,104,0,1.06
220,38.95285,-77.016182,2707,28,14.3,0.19,150,0,1.21
221,38.922646,-77.037392,2209,28,16.5,0.06,169,3,0.61
222,38.9529,-77.068192,1892,28,13.3,0.03,106,2,0.56
223,38.950451,-77.007439,1765,28,11.2,0.15,132,0,1.95
224,38.914276,-77.038185,3099,28,15.2,0.08,199,2,0.61
225,38.906879,-77.03418,3469,28,14.7,0.11,239,4,0.4
226,38.906502,-77.052681,2858,28,15.8,0.2,140,1,0.6
227,38.919609,-77.045685,1927,28,12.8,0.05,158,1,0.97
228,38.901974,-76.979866,3702,34,15.5,0.03,124,3,0.55
