listing_db_id,latitude,longitude,price,aqi,nwi_score,nearest_bus_stop_miles,nearby_bus_stops,nearby_parks,nearest_park_miles,price_log,nearest_bus_stop_miles_log,nearby_bus_stops_log,QoL_index
3102,38.906288,-77.017769,5495,28,14.5,0.13,231,3,0.32,8.611775833902186,0.12221763272424921,5.44673737166631,0.8871859689524031
3103,38.896724,-77.046903,2050,28,18.8,0.04,108,2,0.69,7.62608275807238,0.039220713153281295,4.6913478822291435,0.8676073958410051
3104,38.965745,-77.002888,7900,28,17.0,0.05,120,0,2.0,8.974744612722734,0.04879016416943201,4.795790545596741,0.43991146902394657
3105,38.928797,-77.024707,4000,28,17.0,0.07,174,2,0.57,8.294299608857235,0.06765864847381481,5.1647859739235145,0.8216227834952561
3106,38.941877,-76.986305,3100,34,15.8,0.05,161,1,0.63,8.03947991910045,0.04879016416943201,5.087596335232384,0.3502305474760987
3107,38.911453,-77.021613,2300,28,18.0,0.05,211,4,0.04,7.741099090035366,0.04879016416943201,5.356586274672012,1.2344083448748078
3108,38.948183,-77.080825,2300,28,17.8,0.05,106,0,0.83,7.741099090035366,0.04879016416943201,4.672828834461906,0.48493535580139385
3109,38.897997,-77.000893,3200,34,14.0,0.16,128,2,0.16,8.071218539969863,0.14842000511827327,4.859812404361672,0.3844154913981706
3110,38.93798,-77.032469,3400,28,15.0,0.04,156,2,0.49,8.131824785007195,0.039220713153281295,5.056245805348308,0.725867362217735
3111,38.912102,-77.029373,4250,28,16.2,0.14,227,4,0.43,8.35490952835879,0.1310282624064041,5.429345628954441,1.1314416008138268
3112,38.908749,-77.045944,5600,28,16.0,0.07,171,1,0.31,8.630700432209832,0.06765864847381481,5.147494476813453,0.6022540320656259
3113,38.922002,-77.011812,6600,28,9.5,0.15,144,3,0.31,8.79497643168877,0.13976194237515868,4.976733742420574,0.5952287804758533
3114,38.92072,-77.033948,4000,28,14.7,0.11,196,1,0.41,8.294299608857235,0.10436001532424277,5.2832037287379885,0.556571425438791
3115,38.918594,-77.031626,3200,28,15.5,0.09,195,2,0.32,8.071218539969863,0.08617769624105233,5.278114659230517,0.7658985262008464
3116,38.92291,-77.046947,4495,28,17.3,0.03,128,1,0.86,8.410943391573527,0.0295588022415444,4.859812404361672,0.6406906116136929
3117,38.95566,-77.010751,2099,28,15.2,0.06,143,0,1.47,7.649692623711514,0.058268908123975775,4.969813299576001,0.39943611754981906
3118,38.910569,-77.009969,3000,28,16.0,0.04,181,4,0.62,8.006700845440367,0.039220713153281295,5.204006687076795,1.1217410915886254
3119,38.911389,-77.020326,8900,28,18.0,0.09,205,4,0.07,9.093918908958932,0.08617769624105233,5.327876168789581,1.1985099533244525
3120,38.88098,-76.996435,4950,34,14.2,0.08,83,1,0.39,8.507344855361422,0.07696104113612832,4.430816798843313,0.18566459539294217
3121,38.924896,-77.051849,3850,28,18.3,0.05,92,0,0.88,8.25608813381491,0.04879016416943201,4.532599493153256,0.4822526186814449
3122,38.916581,-77.036103,2350,28,17.5,0.02,194,2,0.6,7.762596048540069,0.019802627296179712,5.272999558563747,0.8770319683903982
3123,38.879508,-77.016563,2350,28,13.5,0.05,74,1,0.36,7.762596048540069,0.04879016416943201,4.31748811353631,0.4103799491190291
3124,38.89977,-77.051722,3250,28,14.8,0.02,128,1,0.69,8.086717920303906,0.019802627296179712,4.859812404361672,0.5335470139454181
3125,38.880274,-77.017125,2795,28,13.5,0.04,82,1,0.36,7.935945103353701,0.039220713153281295,4.418840607796598,0.42103127275578506
3126,38.89726,-76.975701,2690,34,14.7,0.12,101,3,0.4,7.897668150726906,0.11332868530700317,4.624972813284271,0.5650725259477373
3127,38.948772,-77.016014,1850,28,13.0,0.05,150,0,1.31,7.523481312573497,0.04879016416943201,5.017279836814924,0.30795991188502214
3128,38.906639,-77.016904,5195,28,14.5,0.08,217,3,0.37,8.55564437779049,0.07696104113612832,5.384495062789089,0.8905197988514418
3129,38.870529,-76.977058,971,34,14.2,0.01,106,2,0.15,6.879355804460439,0.009950330853168083,4.672828834461906,0.42282760002634867
3130,38.902121,-77.053732,3700,28,15.7,0.11,138,1,0.71,8.216358332386156,0.10436001532424277,4.9344739331306915,0.5634639481373369
3131,38.926434,-77.073522,1800,28,14.5,0.07,97,0,1.34,7.496097345175956,0.06765864847381481,4.584967478670572,0.32324621672492404
3132,38.910748,-77.031617,4500,28,17.0,0.07,241,5,0.56,8.412054873292933,0.06765864847381481,5.488937726156687,1.3527223647727886
3133,38.956259,-77.065958,6200,28,11.2,0.19,91,2,0.78,8.732465848349879,0.173953307123438,4.5217885770490405,0.44931997466705453
3134,38.935306,-77.059186,10500,28,15.8,0.05,84,1,0.76,9.259225769705994,0.04879016416943201,4.442651256490317,0.5035591542243366
3135,38.920457,-77.013721,6500,28,15.0,0.06,159,4,0.18,8.77971129020447,0.058268908123975775,5.075173815233827,1.0425904713825498
3136,38.880287,-77.017126,1995,28,13.5,0.04,82,1,0.36,7.59890045687141,0.039220713153281295,4.418840607796598,0.42717678956212163
3137,38.905631,-76.982365,2450,34,12.2,0.12,126,1,0.71,7.804251383528112,0.11332868530700317,4.844187086458591,0.146812106370297
3138,38.927437,-77.038766,3800,28,13.0,0.07,148,3,0.49,8.24301946898925,0.06765864847381481,5.003946305945459,0.7848381674968721
3139,38.933744,-77.024256,3495,28,17.0,0.01,159,1,0.91,8.159374736775426,0.009950330853168083,5.075173815233827,0.6606597052681765
3140,38.910514,-77.009426,3100,28,16.0,0.02,175,3,0.72,8.03947991910045,0.019802627296179712,5.170483995038151,0.9561643165240794
3141,38.952862,-77.068962,2011,28,14.2,0.03,108,2,0.57,7.60688453121963,0.0295588022415444,4.6913478822291435,0.6581859215859709
3142,38.918144,-77.04496,1940,28,17.2,0.08,148,1,0.87,7.57095858316901,0.07696104113612832,5.003946305945459,0.6581667198094117
3143,38.952862,-77.068962,1968,28,14.2,0.03,108,2,0.57,7.585281078639126,0.0295588022415444,4.6913478822291435,0.6585798289875393
3144,38.936184,-77.055687,2368,28,13.2,0.04,69,2,0.82,7.7702232041587855,0.039220713153281295,4.248495242049359,0.5555969448785055
3145,38.91901,-77.035378,2100,28,17.5,0.07,193,1,0.5,7.650168700845001,0.06765864847381481,5.267858159063328,0.7032055758123695
3146,38.955608,-77.020271,1466,28,17.5,0.05,150,0,0.96,7.2909747781429814,0.04879016416943201,5.017279836814924,0.5194055880280851
3147,38.935929,-77.057554,1990,28,13.2,0.05,71,1,0.77,7.596392304064196,0.04879016416943201,4.276666119016055,0.3948470716570037
3169,38.91013,-77.038155,2100,28,16.8,0.03,207,2,0.35,7.650168700845001,0.0295588022415444,5.337538079701318,0.8522996292235675
3148,38.932556,-77.07296,1950,28,14.3,0.04,117,1,0.93,7.576097340623111,0.039220713153281295,4.770684624465665,0.5053660347061222
3149,38.915428,-77.03698,1650,28,15.2,0.07,197,2,0.7,7.409136443920128,0.06765864847381481,5.288267030694535,0.7692468683144851
3150,38.936184,-77.055687,2323,28,13.2,0.04,69,2,0.82,7.751045117971802,0.039220713153281295,4.248495242049359,0.5559466292666291
3151,38.900902,-76.977722,2075,34,15.8,0.08,112,3,0.45,7.638198244285779,0.07696104113612832,4.727387818712341,0.6400459438970685
3152,38.904102,-77.017403,2478,28,16.7,0.12,221,2,0.26,7.8156105320351905,0.11332868530700317,5.402677381872279,0.8345762541556379
3153,38.937912,-77.02491,1741,28,14.5,0.06,155,0,0.89,7.462789157412448,0.058268908123975775,5.049856007249537,0.3799248552962619
3154,38.921581,-77.03701,1818,28,16.0,0.06,173,2,0.58,7.506042178518122,0.058268908123975775,5.159055299214529,0.7912647815050958
3155,38.931023,-77.037048,1865,28,16.8,0.03,150,2,0.31,7.531552381407289,0.0295588022415444,5.017279836814924,0.8172006110019516
3156,38.923958,-77.053108,2694,28,14.3,0.04,96,0,0.98,7.899153483343097,0.039220713153281295,4.574710978503383,0.3114969013814637
3157,38.90517,-77.006294,2068,28,17.8,0.14,155,3,0.57,7.634820677745543,0.1310282624064041,5.049856007249537,1.0089140790365154
3158,38.926884,-77.040436,2420,28,14.5,0.04,140,2,0.52,7.791935956938058,0.039220713153281295,4.948759890378168,0.6965359128406695
3159,38.910309,-77.008553,2265,28,17.8,0.05,169,3,0.7,7.725771441587952,0.04879016416943201,5.135798437050262,1.0346128654871
3160,38.93932,-77.037277,1599,28,11.2,0.06,124,2,0.29,7.3777589082278725,0.058268908123975775,4.8283137373023015,0.5341022897524245
3161,38.910309,-77.008553,4460,28,17.8,0.05,169,3,0.7,8.403128235128264,0.04879016416943201,5.135798437050262,1.0222622537742776
3162,38.910309,-77.008553,3340,28,17.8,0.05,169,3,0.7,8.114025442356757,0.04879016416943201,5.135798437050262,1.0275336209070278
3163,38.910309,-77.008553,1870,28,17.8,0.05,169,3,0.7,7.534228326274089,0.04879016416943201,5.135798437050262,1.0381053744071647
3164,38.907307,-76.998062,3295,28,17.2,0.09,153,3,0.54,8.100464891029363,0.08617769624105233,5.0369526024136295,0.9807614373064112
3165,38.878433,-77.018265,3693,28,15.8,0.09,72,1,0.24,8.214465160759186,0.08617769624105233,4.290459441148391,0.4970101325706479
3166,38.901981,-76.979874,2094,34,15.5,0.04,124,3,0.55,7.647308832356238,0.039220713153281295,4.8283137373023015,0.645774494311577
3167,38.91724,-77.033684,2814,28,17.5,0.04,200,3,0.46,7.942717540573791,0.039220713153281295,5.303304908059076,1.0383524771600923
3168,38.91724,-77.033684,3144,28,17.5,0.04,200,3,0.46,8.05356916913454,0.039220713153281295,5.303304908059076,1.03633125963464
3170,38.932728,-77.072136,2019,28,16.8,0.06,119,1,0.9,7.61085279039525,0.058268908123975775,4.787491742782046,0.6177819466038963
3171,38.910309,-77.008553,1960,28,17.8,0.05,169,3,0.7,7.581209826196346,0.04879016416943201,5.135798437050262,1.0372487353821198
3172,38.901981,-76.979874,2555,34,15.5,0.04,124,3,0.55,7.846198815497425,0.039220713153281295,4.8283137373023015,0.6421480259882761
3173,38.879749,-77.014114,1624,28,14.5,0.11,74,1,0.49,7.393263094763838,0.10436001532424277,4.31748811353631,0.4514310338703948
3174,38.910309,-77.008553,2540,28,17.8,0.05,169,3,0.7,7.840312983320164,0.04879016416943201,5.135798437050262,1.0325243677848348
3175,38.923958,-77.053108,1957,28,14.3,0.04,96,0,0.98,7.579678823090456,0.039220713153281295,4.574710978503383,0.3173220551534416
3176,38.943722,-77.061241,2507,28,11.8,0.09,66,1,0.27,7.827240901752812,0.08617769624105233,4.204692619390966,0.309908352573558
3177,38.92897,-77.054306,2149,28,18.3,0.07,83,0,0.82,7.673223121121708,0.06765864847381481,4.430816798843313,0.47705544184953547
3178,38.908833,-77.048485,2945,28,16.3,0.06,154,1,0.43,7.988203597022576,0.058268908123975775,5.043425116919247,0.617656250030111
3179,38.901974,-76.979866,2436,34,15.5,0.03,124,3,0.55,7.798523053625206,0.0295588022415444,4.8283137373023015,0.6450566406336978
3180,38.910309,-77.008553,2120,28,17.8,0.05,169,3,0.7,7.659642954564682,0.04879016416943201,5.135798437050262,1.035818621853862
3181,38.871853,-76.978424,995,34,14.2,0.12,99,1,0.17,6.903747257584598,0.11332868530700317,4.605170185988092,0.22751371198977988
3182,38.943722,-77.061241,2264,28,11.8,0.09,66,1,0.27,7.725330037917135,0.08617769624105233,4.204692619390966,0.31176654831405415
3183,38.904102,-77.017403,2373,28,16.7,0.12,221,2,0.26,7.772331575169614,0.11332868530700317,5.402677381872279,0.8353653827163614
3184,38.916546,-77.023216,2055,28,18.3,0.06,187,4,0.33,7.628517626575055,0.058268908123975775,5.236441962829949,1.2342954946033715
3185,38.910309,-77.008553,2515,28,17.8,0.05,169,3,0.7,7.830425617820331,0.04879016416943201,5.135798437050262,1.0327046494522159
3186,38.879749,-77.014114,1624,28,14.5,0.11,74,1,0.49,7.393263094763838,0.10436001532424277,4.31748811353631,0.4514310338703948
3187,38.879749,-77.014114,1624,28,14.5,0.11,74,1,0.49,7.393263094763838,0.10436001532424277,4.31748811353631,0.4514310338703948
3188,38.910278,-77.055779,2054,28,16.7,0.04,133,0,0.83,7.628031126930335,0.039220713153281295,4.897839799950911,0.4645462296506812
3189,38.874168,-77.00029,2270,34,17.8,0.15,82,1,0.84,7.7279755421055585,0.13976194237515868,4.418840607796598,0.3509916043327695
3190,38.901974,-76.979866,2434,34,15.5,0.03,124,3,0.55,7.79770203551669,0.0295588022415444,4.8283137373023015,0.6450716106996426
3191,38.899944,-76.997391,3480,34,15.2,0.03,133,2,0.07,8.15507488781144,0.0295588022415444,4.897839799950911,0.4676537096171144
3192,38.903282,-77.0159,2509,28,16.7,0.06,212,2,0.33,7.828038032125829,0.058268908123975775,5.3612921657094255,0.8411558544768367
3193,38.875622,-77.007805,2489,28,17.8,0.07,61,0,0.8,7.820037989458753,0.06765864847381481,4.127134385045092,0.41602234161012125
3194,38.975719,-77.018799,2307,28,17.3,0.08,90,0,1.68,7.744136627627991,0.07696104113612832,4.51085950651685,0.4370660789854896
3195,38.917534,-77.068245,2564,28,17.2,0.05,115,0,1.89,7.84971375760487,0.04879016416943201,4.7535901911063645,0.4647239498617734
3196,38.904102,-77.017403,2823,28,16.7,0.12,221,2,0.26,7.945909598613133,0.11332868530700317,5.402677381872279,0.8322004410048813
3197,38.921452,-77.081009,1666,28,12.8,0.08,87,0,1.81,7.418780882750794,0.07696104113612832,4.477336814478207,0.2318918658063255
3198,38.904102,-77.017403,2037,28,16.7,0.12,221,2,0.26,7.61972421378267,0.11332868530700317,5.402677381872279,0.8381479550371576
3199,38.879082,-77.013382,2410,28,14.5,0.11,72,1,0.51,7.787796878181171,0.10436001532424277,4.290459441148391,0.44109252026007034
3200,38.917034,-77.047165,2475,28,17.8,0.06,134,1,0.83,7.814399633804487,0.058268908123975775,4.90527477843843,0.6738203730947786
3201,38.95285,-77.016182,2224,28,14.3,0.19,150,0,1.21,7.707512194600341,0.173953307123438,5.017279836814924,0.3380460738950131
3202,38.910919,-77.004097,1603,28,14.0,0.12,158,2,0.55,7.38025578842646,0.11332868530700317,5.0689042022202315,0.6793562899120353
3203,38.938999,-77.061081,1895,28,11.8,0.04,78,1,0.49,7.547501682814967,0.039220713153281295,4.3694478524670215,0.3440892398752002
3204,38.949942,-77.066269,2405,28,13.3,0.03,101,1,0.35,7.785720896534624,0.0295588022415444,4.624972813284271,0.4405838735592203
3205,38.910919,-77.004097,1857,28,14.0,0.12,158,2,0.55,7.527255919373784,0.11332868530700317,5.0689042022202315,0.676675957247805
3206,38.931225,-77.024757,2849,28,17.0,0.06,167,2,0.73,7.955074273262696,0.058268908123975775,5.123963979403259,0.8250403229901379
3207,38.877972,-77.005531,2810,28,15.8,0.1,72,0,0.93,7.941295570906532,0.09531017980432487,4.290459441148391,0.33488612390484396
3208,38.877972,-77.005531,4279,28,15.8,0.1,72,0,0.93,8.361708288575842,0.09531017980432487,4.290459441148391,0.3272205120964388
3209,38.948097,-77.066391,3295,28,13.8,0.02,101,1,0.22,8.100464891029363,0.019802627296179712,4.624972813284271,0.45992710710149187
3210,38.908844,-77.032661,2795,28,14.7,0.05,244,5,0.52,7.935945103353701,0.04879016416943201,5.501258210544727,1.2609141155619596
3211,38.916317,-77.032227,3269,28,16.7,0.04,210,3,0.44,8.0925452638913,0.039220713153281295,5.351858133476067,1.0044330516433488
3212,38.902828,-77.051842,1937,28,15.7,0.02,140,1,0.59,7.569411792450712,0.019802627296179712,4.948759890378168,0.5947695626589163
3213,38.935467,-77.054016,2705,28,13.2,0.03,69,2,0.69,7.903226808730733,0.0295588022415444,4.248495242049359,0.5552111351957864
3214,38.910919,-77.004097,2015,28,14.0,0.12,158,2,0.55,7.60887062919126,0.11332868530700317,5.0689042022202315,0.6751878322291691
3215,38.917042,-77.047165,2100,28,17.8,0.06,134,1,0.83,7.650168700845001,0.058268908123975775,4.90527477843843,0.6768148842646093
3216,38.922646,-77.037392,2800,28,16.5,0.06,169,3,0.61,7.937731775260109,0.058268908123975775,5.135798437050262,0.9688878362986181
3217,38.879501,-77.004631,2575,34,15.8,0.18,73,0,0.84,7.853993087224244,0.16551443847757338,4.30406509320417,0.07263533614394166
3218,38.890342,-77.00328,3950,34,15.7,0.22,119,2,0.68,8.281723990411392,0.1988508587451652,4.787491742782046,0.43979637431426183
3219,38.899097,-77.019234,2878,28,18.3,0.1,219,3,0.3,7.965198290612176,0.09531017980432487,5.393627546352362,1.0734495435037303
3220,38.880337,-77.006493,3470,28,15.8,0.27,71,0,0.89,8.152198015861787,0.23901690047049992,4.276666119016055,0.29910394400691853
3221,38.879082,-77.013382,2325,28,14.5,0.11,72,1,0.51,7.75190533307861,0.10436001532424277,4.290459441148391,0.4417469501581128
3222,38.908844,-77.032661,2875,28,14.7,0.05,244,5,0.52,7.964155718840937,0.04879016416943201,5.501258210544727,1.2603997361958925
3223,38.926098,-77.037827,1852,28,14.5,0.04,147,3,0.6,7.52456122628536,0.039220713153281295,4.997212273764115,0.8722257853844743
3224,38.916317,-77.032227,2586,28,16.7,0.04,210,3,0.44,7.8582541821860294,0.039220713153281295,5.351858133476067,1.00870500728846
3225,38.926098,-77.037827,1907,28,14.5,0.04,147,3,0.6,7.553810852008231,0.039220713153281295,4.997212273764115,0.871692461184446
3226,38.904526,-77.024925,2814,28,18.3,0.05,248,3,0.2,7.942717540573791,0.04879016416943201,5.517452896464707,1.098085306610077
3227,38.875622,-77.007805,2613,28,17.8,0.07,61,0,0.8,7.868636894184167,0.06765864847381481,4.127134385045092,0.4151362115710397
3228,38.95285,-77.016182,2362,28,14.3,0.19,150,0,1.21,7.767687277186908,0.173953307123438,5.017279836814924,0.336948869161996
3229,38.952862,-77.068962,2187,28,14.2,0.03,108,2,0.57,7.690743163541872,0.0295588022415444,4.6913478822291435,0.6566568819181658
3230,38.926666,-77.038605,2248,28,14.5,0.08,146,3,0.55,7.718240951959316,0.07696104113612832,4.990432586778736,0.8599397447553377
3231,38.916546,-77.023216,1970,28,18.3,0.06,187,4,0.33,7.58629630715272,0.058268908123975775,5.236441962829949,1.2350653386902122
3232,38.906921,-77.050743,4580,28,15.7,0.19,145,1,0.5,8.429672593886743,0.173953307123438,4.983606621708336,0.5506021346319852
3233,38.910919,-77.004097,2921,28,14.0,0.12,158,2,0.55,7.980023592310645,0.11332868530700317,5.0689042022202315,0.6684204000910899
3234,38.926807,-77.042816,1948,28,14.2,0.07,122,2,0.54,7.575071699507561,0.06765864847381481,4.812184355372417,0.6647835730721096
3235,38.922482,-77.038445,2200,28,16.5,0.12,172,3,0.83,7.696667081526462,0.11332868530700317,5.153291594497779,0.9636972775844502
3236,38.921543,-77.031548,2895,28,13.8,0.03,195,2,0.29,7.971085753505607,0.0295588022415444,5.278114659230517,0.7013967977231415
3237,38.931023,-77.037048,1876,28,16.8,0.03,150,2,0.31,7.537430036586509,0.0295588022415444,5.017279836814924,0.8170934405452696
3238,38.904526,-77.024925,2864,28,18.3,0.05,248,3,0.2,7.9603236291488395,0.04879016416943201,5.517452896464707,1.0977642853021847
3239,38.942833,-77.061111,2289,28,13.2,0.09,73,1,0.3,7.736307096548285,0.08617769624105233,4.30406509320417,0.3875924822110823
3240,38.935844,-77.081871,1878,28,11.2,0.04,104,0,1.06,7.538494999413465,0.039220713153281295,4.653960350157523,0.1845514991421173
3241,38.900784,-77.016937,2799,28,16.5,0.07,211,2,0.31,7.937374696163295,0.06765864847381481,5.356586274672012,0.8274236956780141
3242,38.904526,-77.024925,2884,28,18.3,0.05,248,3,0.2,7.9672801789422,0.04879016416943201,5.517452896464707,1.097637442778159
3243,38.942833,-77.061111,2226,28,13.2,0.09,73,1,0.3,7.708410667257367,0.08617769624105233,4.30406509320417,0.38810113285079245
3244,38.875622,-77.007805,2494,28,17.8,0.07,61,0,0.8,7.822044008185619,0.06765864847381481,4.127134385045092,0.41598576478883525
3245,38.901718,-77.035004,2679,28,15.8,0.04,229,3,0.29,7.893572073504902,0.039220713153281295,5.438079308923196,0.9766515563367146
3246,38.943722,-77.061241,2268,28,11.8,0.09,66,1,0.27,7.727094484779841,0.08617769624105233,4.204692619390966,0.3117343762028463
3247,38.928524,-77.033623,2975,28,15.7,0.04,175,3,0.56,7.998335395952982,0.039220713153281295,5.170483995038151,0.9390022465732355
3248,38.879749,-77.014114,1624,28,14.5,0.11,74,1,0.49,7.393263094763838,0.10436001532424277,4.31748811353631,0.4514310338703948
3249,38.921452,-77.081009,1875,28,12.8,0.08,87,0,1.81,7.53689712956617,0.07696104113612832,4.477336814478207,0.22973818857845288
3250,38.943722,-77.061241,2184,28,11.8,0.09,66,1,0.27,7.68937110752969,0.08617769624105233,4.204692619390966,0.3124222068843366
3251,38.899097,-77.019234,2620,28,18.3,0.1,219,3,0.3,7.8713112033234065,0.09531017980432487,5.393627546352362,1.0751614373992515
3252,38.876751,-77.015617,2145,28,15.8,0.03,66,1,0.37,7.671360923190644,0.0295588022415444,4.204692619390966,0.5088843542540071
3253,38.929184,-77.025948,2795,28,17.0,0.04,171,2,0.59,7.935945103353701,0.039220713153281295,5.147494476813453,0.8321473293398772
3254,38.923958,-77.053108,1900,28,14.3,0.04,96,0,0.98,7.550135342488429,0.039220713153281295,4.574710978503383,0.3178607373679564
3255,38.897118,-77.045326,1675,28,16.8,0.08,134,2,0.64,7.424165281042028,0.07696104113612832,4.90527477843843,0.7961218720079858
3256,38.875622,-77.007805,4010,28,17.8,0.07,61,0,0.8,8.296795865770052,0.06765864847381481,4.127134385045092,0.40732935813744536
3257,38.922646,-77.037392,1800,28,16.5,0.06,169,3,0.61,7.496097345175956,0.058268908123975775,5.135798437050262,0.97694039503428
3258,38.926884,-77.040436,1895,28,14.5,0.04,140,2,0.52,7.547501682814967,0.039220713153281295,4.948759890378168,0.7009928147833239
3259,38.899944,-76.997391,2077,34,15.2,0.03,133,2,0.07,7.639161171659173,0.0295588022415444,4.897839799950911,0.47706064263422115
3260,38.918369,-77.040085,2802,28,16.0,0.09,175,2,0.87,7.938445551164788,0.08617769624105233,5.170483995038151,0.7788196159208859
3261,38.935844,-77.081871,3601,28,11.2,0.04,104,0,1.06,8.189244525735901,0.039220713153281295,4.653960350157523,0.17268603208168667
3262,38.875622,-77.007805,6561,28,17.8,0.07,61,0,0.8,8.789050713521046,0.06765864847381481,4.127134385045092,0.3983538100270459
3263,38.87748,-77.016319,2005,28,15.8,0.07,68,1,0.33,7.603897968521881,0.06765864847381481,4.23410650459726,0.5054950820696514
3264,38.936302,-77.073868,4462,28,17.2,0.08,125,1,0.73,8.40357646462927,0.07696104113612832,4.836281906951478,0.6234775181166767
3265,38.935116,-77.033882,2006,28,14.7,0.06,152,2,0.38,7.604396348796338,0.058268908123975775,5.030437921392435,0.7146473125820517
3266,38.900192,-77.051941,3950,28,14.8,0.05,130,1,0.68,8.281723990411392,0.04879016416943201,4.875197323201151,0.5256630561174545
3267,38.910919,-77.004097,1847,28,14.0,0.12,158,2,0.55,7.521859252201629,0.11332868530700317,5.0689042022202315,0.6767743575907591
3268,38.922924,-77.074043,1659,28,12.3,0.08,90,0,1.58,7.414572881350589,0.07696104113612832,4.51085950651685,0.21284601571417464
3269,38.935844,-77.081871,2025,28,11.2,0.04,104,0,1.06,7.613818684808629,0.039220713153281295,4.653960350157523,0.18317808176450137
3270,38.907307,-76.998062,2870,28,17.2,0.09,153,3,0.54,7.962415680121064,0.08617769624105233,5.0369526024136295,0.9832785630183695
3271,38.919609,-77.045685,1927,28,12.8,0.05,158,1,0.97,7.564238475170491,0.04879016416943201,5.0689042022202315,0.46919134017318914
3272,38.910919,-77.004097,2641,28,14.0,0.12,158,2,0.55,7.879291485082271,0.11332868530700317,5.0689042022202315,0.6702571029266657
3273,38.91901,-77.035378,2125,28,17.5,0.07,193,1,0.5,7.661997558901893,0.06765864847381481,5.267858159063328,0.7029898938641556
3274,38.965054,-77.035362,3596,28,12.0,0.06,100,1,0.6,8.187855443695623,0.058268908123975775,4.61512051684126,0.36618586960979566
3275,38.904655,-77.051949,3616,28,15.8,0.09,142,1,0.57,8.193400231952097,0.08617769624105233,4.962844630259907,0.5756257483105571
3276,38.90716,-77.082872,3498,28,12.7,0.08,47,0,2.76,8.160232492367689,0.07696104113612832,3.871201010907891,0.1432445354827042
3277,38.905228,-77.024277,1800,28,18.3,0.05,250,3,0.21,7.496097345175956,0.04879016416943201,5.5254529391317835,1.1071595726370766
3278,38.906238,-77.05852,4750,28,18.3,0.09,112,0,0.92,8.46611040118692,0.08617769624105233,4.727387818712341,0.49319535107844953
3279,38.914687,-77.026345,3850,28,18.3,0.02,205,4,0.32,8.25608813381491,0.019802627296179712,5.327876168789581,1.241609953683539
3280,38.918506,-77.024184,3000,28,16.2,0.05,190,3,0.19,8.006700845440367,0.04879016416943201,5.25227342804663,0.9693689720461066
3281,38.919502,-77.046066,3242,28,12.8,0.07,153,1,0.97,8.084254106307318,0.06765864847381481,5.0369526024136295,0.45200954281966105
3282,38.90649,-77.033157,1825,28,14.7,0.06,250,4,0.45,7.509883061154913,0.058268908123975775,5.5254529391317835,1.1043198321366106
3283,38.917889,-77.036124,2949,28,17.5,0.04,186,2,0.56,7.989560449333865,0.039220713153281295,5.231108616854587,0.8639210938580435
3284,38.904655,-77.051949,6051,28,15.8,0.09,142,1,0.57,8.708144074908246,0.08617769624105233,4.962844630259907,0.5662401462223438
3285,38.908833,-77.048485,2747,28,16.3,0.06,154,1,0.43,7.91862865334224,0.058268908123975775,5.043425116919247,0.6189248474997637
3286,38.906921,-77.050743,3755,28,15.7,0.19,145,1,0.5,8.231109840328154,0.173953307123438,4.983606621708336,0.5542226364018328
3287,38.875164,-77.006271,3971,28,17.8,0.09,66,0,0.89,8.287025025165063,0.08617769624105233,4.204692619390966,0.41262258750710107
3288,38.946503,-77.066261,1746,28,16.2,0.07,97,1,0.11,7.465655310134056,0.06765864847381481,4.584967478670572,0.5672564882076842
3289,38.907003,-77.032375,4088,28,14.7,0.02,253,4,0.5,8.316055720364643,0.019802627296179712,5.537334267018537,1.0991218223784405
3290,38.918472,-77.039917,2794,28,16.0,0.1,174,2,0.87,7.9355873855892,0.09531017980432487,5.1647859739235145,0.7762811979993706
3291,38.90517,-77.006294,2317,28,17.8,0.14,155,3,0.57,7.748460023899697,0.1310282624064041,5.049856007249537,1.006842031552776
3292,38.922332,-77.039297,1680,28,16.5,0.13,164,3,0.84,7.427144133408616,0.12221763272424921,5.10594547390058,0.961226778982805
3293,38.880337,-77.006493,2522,28,15.8,0.27,71,0,0.89,7.833203948641057,0.23901690047049992,4.276666119016055,0.3049203348669634
3294,38.921452,-77.081009,1934,28,12.8,0.08,87,0,1.81,7.5678626054638825,0.07696104113612832,4.477336814478207,0.22917357835683463
3295,38.918369,-77.040085,3382,28,16.0,0.09,175,2,0.87,8.12651816878071,0.08617769624105233,5.170483995038151,0.7753903864569754
3296,38.900784,-77.016937,4535,28,16.5,0.07,211,2,0.31,8.419800845407588,0.06765864847381481,5.356586274672012,0.8186273595280708
3297,38.906879,-77.03418,4739,28,14.7,0.11,239,4,0.4,8.463792414689122,0.10436001532424277,5.480638923341991,1.07198426893965
3298,38.880337,-77.006493,2246,28,15.8,0.27,71,0,0.89,7.717351272185329,0.23901690047049992,4.276666119016055,0.3070327391957328
3299,38.920673,-77.031647,3064,28,13.8,0.02,193,2,0.28,8.027802848370312,0.019802627296179712,5.267858159063328,0.701228520868482
3300,38.879501,-77.004631,2555,34,15.8,0.18,73,0,0.84,7.846198815497425,0.16551443847757338,4.30406509320417,0.07277745330376084
3301,38.948513,-77.065186,2120,28,9.8,0.05,99,1,0.25,7.659642954564682,0.04879016416943201,4.605170185988092,0.2753591573945991
3302,38.904655,-77.051949,5413,28,15.8,0.09,142,1,0.57,8.596743470174246,0.08617769624105233,4.962844630259907,0.5682713735264239
