listing_db_id,latitude,longitude,price,aqi,nwi_score,nearest_bus_stop_miles,nearby_bus_stops,nearby_parks,nearest_park_miles,price_log,nearest_bus_stop_miles_log,nearby_bus_stops_log,QoL_index
6666,38.801121,-77.160873,2941,28,16.0,0.35,10,0,1.02,7.9868449011613825,0.30010459245033805,2.3978952727983707,0.07984082741678303
6670,38.901016,-77.20668,2565,23,17.0,0.21,12,0,2.29,7.850103545175582,0.1906203596086497,2.5649493574615367,0.3797649596453369
6672,38.75555,-77.079102,1985,28,15.2,0.23,6,0,2.06,7.593877844605118,0.20701416938432612,1.9459101490553132,0.017229575339315326
6674,38.787277,-77.07,1750,28,9.0,0.34,19,0,3.03,7.467942332285852,0.29266961396282004,2.995732273553991,-0.1618914062614215
6677,38.75555,-77.079102,1815,28,15.2,0.23,6,0,2.06,7.504391559161238,0.20701416938432612,1.9459101490553132,0.018861227041461263
6678,38.75555,-77.079102,2315,28,15.2,0.23,6,0,2.06,7.7475968386928855,0.20701416938432612,1.9459101490553132,0.014426734019985375
6683,38.801121,-77.160873,2790,28,16.0,0.35,10,0,1.02,7.934155233536322,0.30010459245033805,2.3978952727983707,0.0808015465419483
6684,38.871365,-77.169746,2375,28,18.7,0.05,34,1,0.67,7.773173680482536,0.04879016416943201,3.5553480614894135,0.5609509847821632
6685,38.87051,-77.230797,2905,23,14.7,0.19,36,2,0.06,7.974532844130228,0.173953307123438,3.6109179126442243,0.7271608783258393
6687,38.845142,-77.122459,1764,28,17.0,0.04,94,0,0.83,7.475905969367397,0.039220713153281295,4.553876891600541,0.44111392617372386
6688,38.787277,-77.07,2165,28,9.0,0.34,19,0,3.03,7.680637427560936,0.29266961396282004,2.995732273553991,-0.1657695906393095
6691,38.863243,-77.366379,2799,23,17.3,0.14,12,0,4.44,7.937374696163295,0.1310282624064041,2.5649493574615367,0.40456541181932787
6693,38.874062,-77.266037,2175,23,13.2,0.1,40,2,0.95,7.685243607975833,0.09531017980432487,3.713572066704308,0.6919096476397837
6697,38.901016,-77.20668,2850,23,17.0,0.21,12,0,2.29,7.955425088912672,0.1906203596086497,2.5649493574615367,0.37784457513883024
6698,38.850853,-77.351196,3350,23,13.0,0.05,21,0,3.38,8.11701408773731,0.04879016416943201,3.091042453358316,0.2818612084030629
6702,38.863447,-77.38527,2699,23,13.7,1.05,0,0,5.39,7.90100705199242,0.7178397931503169,0.0,-0.18282340308236128
6704,38.823208,-77.146408,2145,28,16.7,0.27,18,1,0.7,7.671360923190644,0.23901690047049992,2.9444389791664403,0.35948618477854755
6706,38.787277,-77.07,2165,28,9.0,0.34,19,0,3.03,7.680637427560936,0.29266961396282004,2.995732273553991,-0.1657695906393095
6708,38.856758,-77.367935,2446,23,14.5,0.29,14,0,4.36,7.802618063442671,0.25464221837358075,2.70805020110221,0.2686529358246664
6711,38.868916,-77.379379,3813,23,13.7,0.91,0,0,5.24,8.246433786160365,0.6471032420585385,0.0,-0.17419155786576773
6713,38.850853,-77.351196,2861,23,13.0,0.05,21,0,3.38,7.959275960116396,0.04879016416943201,3.091042453358316,0.2847373327516077
6714,38.845142,-77.122459,3888,28,17.0,0.04,94,0,0.83,8.265907334155747,0.039220713153281295,4.553876891600541,0.426709405244504
6719,38.86108,-77.230629,1996,23,13.0,0.17,24,2,0.59,7.599401333415815,0.15700374880966475,3.2188758248682006,0.6136866250238945
6721,38.863243,-77.366379,3099,23,17.3,0.14,12,0,4.44,8.039157390473237,0.1310282624064041,2.5649493574615367,0.40270955306291584
6725,38.868103,-77.271172,2145,23,15.0,0.06,44,2,0.5,7.671360923190644,0.058268908123975775,3.8066624897703196,0.7936944986805473
6729,38.863243,-77.366379,1999,23,17.3,0.14,12,0,4.44,7.600902459542082,0.1310282624064041,2.5649493574615367,0.4107004915679688
6730,38.75555,-77.079102,1520,28,15.2,0.23,6,0,2.06,7.327123292259293,0.20701416938432612,1.9459101490553132,0.022093454952054423
6731,38.869484,-77.23159,2365,23,14.7,0.22,37,2,0.02,7.768956044538332,0.1988508587451652,3.6375861597263857,0.7287570345744627
6732,38.823208,-77.146408,2470,28,16.7,0.27,18,1,0.7,7.81237820598861,0.23901690047049992,2.9444389791664403,0.356914940611154
6735,38.75555,-77.079102,2000,28,15.2,0.23,6,0,2.06,7.601402334583733,0.20701416938432612,1.9459101490553132,0.017092377255603534
6737,38.869484,-77.23159,3160,23,14.7,0.22,37,2,0.02,8.058643712215618,0.1988508587451652,3.6375861597263857,0.7234750031021345
6743,38.760677,-77.151009,2646,28,13.8,2.57,0,0,1.73,7.881182202227102,1.2725655957915476,0.0,-0.5037818280733617
