listing_db_id,latitude,longitude,cluster
248,38.9163,-77.0322,691
249,38.9042,-77.0286,645
250,38.939,-77.0611,515
251,38.902,-76.9799,643
252,38.9104,-77.0222,672
253,38.8797,-77.0141,551
254,38.9095,-77.0484,589
255,38.9028,-77.0054,593
256,38.9215,-77.081,501
257,38.9172,-77.0337,686
258,38.9086,-77.0343,649
259,38.9351,-77.0339,611
260,38.9086,-77.0343,649
261,38.9412,-77.002,483
262,38.8997,-76.9942,598
263,38.9103,-77.0558,573
264,38.9175,-77.0682,490
265,38.9073,-76.9981,584
266,38.9504,-77.0665,529
267,38.8746,-77.0003,484
268,38.8996,-77.0157,622
269,38.9103,-77.0086,660
270,38.9017,-77.035,567
271,38.8795,-77.0056,534
272,38.9437,-77.0612,543
273,38.8804,-77.0062,518
274,38.9078,-77.034,667
275,38.9379,-77.0239,635
276,38.929,-77.0543,554
277,38.9171,-77.0227,670
278,38.9235,-77.0423,620
279,38.9065,-77.0355,653
280,38.897,-77.0458,480
281,38.9225,-77.0435,619
282,38.8999,-76.9974,594
283,38.9165,-77.0232,669
284,38.917,-77.0472,604
285,38.9318,-77.0376,609
286,38.9358,-77.0819,497
287,38.9362,-77.0557,524
288,38.9071,-77.0454,586
289,38.9075,-77.0323,655
290,38.8797,-77.0141,551
291,38.9104,-77.0222,672
292,38.9343,-77.072,495
293,38.9041,-77.0174,662
294,38.8803,-77.0065,519
295,38.9069,-77.0342,664
296,38.9172,-77.0337,686
297,38.9437,-77.0612,543
298,38.8803,-77.0065,519
299,38.8756,-77.0078,544
300,38.9245,-77.031,706
301,38.9069,-77.0342,664
302,38.9095,-77.0484,589
303,38.9293,-77.0734,507
304,38.9165,-77.0232,669
305,38.9557,-77.011,566
306,38.9227,-77.0292,699
307,38.9047,-77.0519,592
308,38.9103,-77.0086,660
309,38.8742,-77.0003,484
310,38.9151,-76.9718,1091
311,38.8797,-77.0141,551
312,38.8791,-77.0134,552
313,38.9041,-77.0174,662
314,38.8996,-77.0157,622
315,38.9076,-77.0343,668
316,38.9052,-77.0063,603
317,38.8735,-77.0094,508
318,38.8797,-77.0141,551
319,38.9362,-77.0557,524
320,38.9047,-77.0519,592
321,38.9065,-77.0355,653
322,38.9094,-77.0406,680
323,38.9412,-77.002,483
324,38.929,-77.0543,554
325,38.8997,-76.9942,598
326,38.9437,-77.0612,543
327,38.9103,-77.0086,660
328,38.9528,-77.0162,569
329,38.8964,-77.0469,479
