listing_db_id,latitude,longitude,price,aqi,nwi_score,nearest_bus_stop_miles,nearby_bus_stops,nearby_parks,nearest_park_miles
21269,39.055765,-77.124199,2700,46,13.8,0.5,10,3,0.7
21270,39.171981,-77.284966,3500,46,13.2,7.37,0,0,6.57
21271,39.087248,-77.1376,3500,46,14.8,0.52,21,4,0.55
21272,39.092194,-77.044737,2850,46,6.8,1.41,0,1,0.63
21273,39.206605,-77.262802,3800,48,12.3,7.96,0,0,8.43
21274,39.085963,-77.100606,4200,46,12.5,1.05,0,0,1.33
21275,39.15564,-77.274933,2050,46,12.8,6.37,0,0,5.32
21276,39.179052,-77.277815,2200,46,14.3,7.31,0,0,6.85
21277,39.027843,-77.099888,2395,46,13.0,1.23,0,1,0.59
21278,39.13232,-77.191322,2759,46,14.2,1.66,0,0,2.78
21279,39.091345,-77.13919,2800,46,14.7,0.59,20,2,0.39
21280,39.287093,-76.586431,2400,47,14.7,18.78,0,0,21.25
21281,39.31694,-76.649673,1250,47,12.8,18.07,0,0,20.3
21282,39.297573,-76.619614,1300,47,17.7,18.04,0,0,20.2
21283,39.285998,-76.678357,1400,47,11.3,15.44,0,0,17.67
21284,39.301746,-76.613419,850,47,18.5,18.47,0,0,20.64
21285,39.285755,-76.598091,2200,47,18.7,18.26,0,0,20.37
21287,39.308425,-76.584054,1650,47,14.3,19.89,0,0,22.02
21288,39.38185,-76.463714,2500,47,7.7,29.75,0,0,30.51
21289,39.351658,-76.555435,1195,47,12.7,23.11,0,0,25.27
21290,39.258094,-76.530263,1800,47,11.2,20.69,0,0,22.0
21291,39.30154,-76.613403,850,47,18.5,18.46,0,0,20.63
21292,39.30843,-76.573288,1075,47,13.7,20.3,0,0,22.42
21293,39.296342,-76.67315,2000,47,9.0,16.18,0,0,18.42
21294,39.281025,-76.570178,2800,47,16.5,20.85,0,0,21.53
21295,39.230118,-76.591263,975,47,13.8,17.25,0,0,18.26
21296,39.33636,-76.693625,1595,47,13.8,17.93,0,0,20.27
21297,39.370378,-76.760588,3000,47,6.2,18.76,0,0,21.2
21298,39.291887,-76.574212,2500,47,14.3,19.49,0,0,21.93
21299,39.360086,-76.560814,2200,47,11.5,23.35,0,0,25.53
21300,39.301712,-76.6175,950,47,19.8,18.32,0,0,20.49
21301,39.316521,-76.600407,2000,47,15.5,19.7,0,0,21.86
21302,39.300615,-76.581886,1500,47,14.2,19.59,0,0,21.71
21303,39.296075,-76.511934,2100,47,14.3,23.39,0,0,24.47
21304,39.230118,-76.591263,975,47,13.8,17.25,0,0,18.26
21305,39.306675,-76.634644,1350,47,16.5,17.99,0,0,20.19
21306,39.299554,-76.579267,2350,47,13.5,19.65,0,0,21.75
21307,39.329695,-76.616914,2300,47,16.5,19.83,0,0,22.03
21308,39.291027,-76.672904,2000,47,12.3,15.89,0,0,18.12
21309,39.222469,-76.592547,1500,47,16.0,16.77,0,0,17.86
21310,39.284923,-76.578801,2800,47,15.8,18.98,0,0,21.41
21311,39.229733,-76.587669,1500,47,13.8,17.33,0,0,18.39
21312,39.281897,-76.690331,840,47,12.0,14.84,0,0,17.08
21313,39.289539,-76.591042,2600,47,16.5,18.71,0,0,20.82
21314,39.315388,-76.568382,1300,47,13.0,20.82,0,0,22.95
21315,39.301047,-76.584097,2500,47,13.7,19.53,0,0,21.65
21316,39.308399,-76.626488,1120,47,15.0,18.36,0,0,20.55
21317,39.299473,-76.614746,950,47,18.8,18.31,0,0,20.47
21318,39.404061,-76.514105,4250,48,5.3,27.29,0,0,29.46
21319,39.288901,-76.609306,2200,47,19.2,17.98,0,0,20.12
21320,39.341758,-76.671005,850,47,16.3,18.84,0,0,21.16
21321,39.30315,-76.592139,3750,47,17.5,19.33,0,0,21.46
21322,39.321911,-76.572797,1250,47,15.7,20.98,0,0,23.12
21323,39.291061,-76.638756,1295,47,17.2,17.02,0,0,19.2
21324,39.298698,-76.641716,1750,47,14.7,17.33,0,0,19.52
21325,39.288943,-76.586328,2400,47,15.5,18.87,0,0,21.35
21326,39.25321,-76.649685,2700,47,18.2,14.71,0,0,16.84
21327,39.286034,-76.593079,1500,47,17.0,18.47,0,0,20.97
21328,39.358146,-76.543198,1900,47,9.3,23.88,0,0,26.04
21329,39.321884,-76.615326,1395,47,13.2,19.46,0,0,21.65
21330,39.288796,-76.676988,1250,47,12.7,15.64,0,0,17.87
21331,39.299417,-76.613838,745,47,19.0,18.34,0,0,20.5
21332,39.333607,-76.556374,1500,47,16.2,22.17,0,0,24.31
21333,39.299473,-76.613846,745,47,19.0,18.34,0,0,20.5
21334,39.269255,-76.612089,2900,47,14.3,16.93,0,0,19.42
21335,39.297501,-76.57392,1700,47,12.3,19.76,0,0,22.24
21336,39.299126,-76.579911,1500,47,13.5,19.6,0,0,21.71
21337,39.367933,-76.594514,2200,47,13.2,22.65,0,0,24.87
21338,39.299417,-76.613838,999,47,19.0,18.34,0,0,20.5
21339,39.308907,-76.640456,1500,47,15.8,17.92,0,0,20.13
