listing_db_id,latitude,longitude,cluster
20258,39.1565,-77.2958,2049
20259,39.0589,-77.169,2192
20260,39.1323,-77.1913,568
20261,39.0928,-77.2156,566
20262,39.0332,-77.1203,2526
20263,39.11,-77.2537,2108
20264,38.9856,-77.0976,2301
20265,39.0968,-77.1655,570
20266,39.2379,-76.709,1792
20267,39.325,-76.4245,403
20268,39.3252,-76.76,310
20269,39.4015,-76.8039,430
20270,39.397,-76.7443,386
20271,39.4989,-76.6535,234
20272,39.4597,-76.8246,357
20273,39.3783,-76.574,465
20274,39.3298,-76.7659,306
20275,39.3984,-76.7879,416
20276,39.4022,-76.8077,431
20277,39.4147,-76.7905,392
20278,39.4128,-76.6277,461
20279,39.4275,-76.7845,389
20280,39.4712,-76.6352,265
20281,39.4023,-76.6005,456
20282,39.3336,-76.7313,436
20283,39.4024,-76.5247,451
20284,39.4023,-76.6005,456
20285,39.4023,-76.6005,456
20286,39.3935,-76.7908,415
20287,39.2421,-76.6534,394
20288,39.3979,-76.8034,427
20289,39.3954,-76.4904,407
20290,39.4015,-76.8039,430
20291,39.3237,-76.7606,311
20292,39.3935,-76.7908,415
20293,39.3522,-76.778,421
20294,39.2457,-76.6901,332
20295,39.4556,-76.6243,264
20296,39.2902,-76.7673,317
20297,39.3237,-76.7606,311
20298,39.3935,-76.6032,455
20299,39.3418,-76.7463,432
20300,39.394,-76.7476,385
20301,39.4417,-76.8014,372
20302,39.3345,-76.451,397
20303,39.4147,-76.7905,392
20304,39.3938,-76.6031,455
20305,39.3691,-76.4709,419
20306,39.3422,-76.7298,1994
20307,39.394,-76.5947,454
20308,39.4022,-76.8077,431
20309,39.3032,-76.7368,1947
20310,39.3839,-76.5094,400
20311,39.3694,-76.7947,418
20312,39.4073,-76.7836,395
20313,39.4128,-76.6277,461
20314,39.4556,-76.6243,264
20315,39.4646,-76.6283,266
20316,39.4022,-76.8077,431
20317,39.2954,-76.4464,405
20318,38.9953,-77.1375,2195
20319,39.0051,-77.1675,1931
20320,38.983,-76.9989,2512
20321,38.9956,-77.0759,634
20322,38.9638,-77.1016,2426
20323,38.963,-77.0898,694
20324,39.4356,-76.7966,366
20325,39.3096,-76.7645,308
20326,39.3606,-76.7614,425
20327,39.2959,-76.4478,404
20350,39.4087,-76.6173,460
20328,39.397,-76.7443,386
20329,39.3166,-76.7696,307
20330,39.3522,-76.778,421
20331,39.3474,-76.3829,222
20332,39.4023,-76.6005,456
20333,39.3606,-76.7614,425
20334,39.4275,-76.7845,389
20335,39.3606,-76.7614,425
20336,39.4407,-76.7986,371
20337,39.4989,-76.6535,234
20338,39.4044,-76.5753,391
20339,39.4023,-76.6005,456
20340,39.3097,-76.4492,1820
20341,39.3602,-76.7814,422
20342,39.4532,-76.6609,1782
20343,39.3345,-76.451,397
20344,39.4091,-76.8189,1938
20345,39.4356,-76.7966,366
20346,39.3947,-76.7497,385
20347,39.394,-76.7476,385
20348,39.4989,-76.6535,234
20349,39.3939,-76.6026,455
20351,39.311,-76.7552,308
20352,39.3997,-76.7865,416
20353,39.3268,-76.7643,1889
20354,39.4989,-76.6535,234
20355,39.5106,-76.7044,234
20356,39.2959,-76.4478,404
20357,39.4989,-76.6535,234
20358,39.3606,-76.7614,425
20359,39.3142,-76.4425,1795
20360,39.3625,-76.7495,417
20361,39.3752,-76.7424,368
20362,39.3867,-76.5629,464
20363,39.4147,-76.7905,392
20364,39.2661,-76.4903,318
20365,39.3838,-76.8229,379
20366,39.4089,-76.6178,460
20367,39.4407,-76.7986,371
20368,39.3917,-76.5495,2018
20369,39.5196,-76.6398,1552
20370,39.2959,-76.4478,404
20371,39.3654,-76.7267,1958
20372,39.4597,-76.8246,357
20373,39.3955,-76.5621,2021
20374,39.409,-76.615,460
20375,39.3632,-76.8084,1779
20376,39.4094,-76.617,460
20377,39.4095,-76.6173,460
20378,39.4253,-76.315,167
20379,39.4766,-76.2498,179
20380,39.5307,-76.3401,172
20381,39.4766,-76.2498,179
20382,39.4983,-76.3328,171
20383,39.4253,-76.315,167
20384,39.4253,-76.315,167
20385,39.4766,-76.2498,179
20386,39.4623,-76.3072,175
20387,39.4669,-76.3255,176
20388,39.4983,-76.3328,171
20389,39.4182,-76.3583,1501
20390,39.4623,-76.3072,175
20391,39.4623,-76.3072,175
20392,39.553,-76.0952,157
20393,39.4983,-76.3328,171
20394,39.5238,-76.1913,177
20395,39.417,-76.2979,168
20396,39.4872,-76.2387,180
20397,39.5307,-76.3401,172
20398,39.5238,-76.1913,177
20399,39.5307,-76.3401,172
20400,39.5238,-76.1913,177
20401,39.4766,-76.2498,179
20402,39.4766,-76.2498,179
20403,39.552,-76.0976,157
20404,39.4253,-76.315,167
20405,39.4983,-76.3328,171
20406,39.417,-76.2979,168
20407,39.4623,-76.3072,175
20408,39.5307,-76.3401,172
20409,39.1975,-76.6278,295
20410,39.1187,-76.7083,255
20411,39.1173,-76.6278,302
20412,39.1173,-76.6278,302
20413,39.1861,-76.6151,296
20414,39.1975,-76.6278,295
20415,38.9525,-76.5039,1898
20416,39.0979,-76.5686,1724
20417,38.9796,-76.5238,197
20418,39.139,-76.7599,245
20419,39.1187,-76.7083,255
20420,39.1502,-76.7255,248
20421,39.1298,-76.6358,300
20422,38.9664,-76.5228,201
20423,39.0273,-76.4379,1581
20424,39.1298,-76.6358,300
20425,39.0978,-76.7149,269
20426,39.0993,-76.7158,268
20427,39.0978,-76.7149,269
20428,39.067,-76.7014,239
20429,38.9674,-76.5608,181
